GEO_UNIT,WEEK,GEO_LEVEL,CHANNEL,BRAND,SUB_BRAND,FEATURE,VALUE
FR,2019-07-01 00:00:00,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,72926.1
FR,14-01-2019,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,74307.48
FR,21-01-2019,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,97360.38
FR,28-01-2019,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,98347.08
FR,2019-04-02 00:00:00,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,100930.44
FR,2019-11-02 00:00:00,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,97037.46
FR,18-02-2019,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,86327.28
FR,25-02-2019,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,86094.06
FR,2019-04-03 00:00:00,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,93449.46
FR,2019-11-03 00:00:00,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,83367.18
FR,18-03-2019,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,95853.42
FR,25-03-2019,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,111030.66
FR,2019-01-04 00:00:00,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,97378.32
FR,2019-08-04 00:00:00,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,93628.86
FR,15-04-2019,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,107640.0
FR,22-04-2019,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,97396.26
FR,29-04-2019,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,129616.5
FR,27-06-2022,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,233942.4465
FR,2022-04-07 00:00:00,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,293762.721
FR,2022-11-07 00:00:00,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,240786.8715
FR,18-07-2022,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,211883.8425
FR,25-07-2022,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,227586.909
FR,2022-01-08 00:00:00,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,231615.342
FR,2022-08-08 00:00:00,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,228506.0175
FR,15-08-2022,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,220390.485
FR,22-08-2022,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,218806.4895
FR,29-08-2022,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,210475.8465
FR,2022-05-09 00:00:00,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,167962.1895
FR,2022-12-09 00:00:00,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,206369.1915
FR,19-09-2022,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,174826.17
FR,26-09-2022,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,163034.2035
FR,2022-03-10 00:00:00,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,167062.6365
FR,2022-10-10 00:00:00,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,159103.548
FR,17-10-2022,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,151652.9025
FR,24-10-2022,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,168803.076
FR,31-10-2022,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,163483.98
FR,2022-07-11 00:00:00,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,162916.8705
FR,14-11-2022,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,133896.5085
FR,21-11-2022,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,131530.293
FR,28-11-2022,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,148484.9115
FR,2022-05-12 00:00:00,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,139156.938
FR,2022-12-12 00:00:00,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,158282.217
FR,19-12-2022,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,168666.1875
FR,2019-06-05 00:00:00,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,108716.4
FR,13-05-2019,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,101558.34
FR,20-05-2019,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,102293.88
FR,27-05-2019,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,117417.3
FR,2019-03-06 00:00:00,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,109200.78
FR,2019-10-06 00:00:00,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,126172.02
FR,17-06-2019,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,133742.7
FR,24-06-2019,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,136272.24
FR,2019-01-07 00:00:00,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,125526.18
FR,2019-08-07 00:00:00,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,145385.76
FR,15-07-2019,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,136828.38
FR,22-07-2019,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,136110.78
FR,29-07-2019,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,154876.02
